### Generated by the command:
### src/extract_conll.py en ./data ./splits -j statuses.json -ls tok:g sem:g
# newdoc id = p02/d0010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A girl is styling her hair
's	's	NOW
wearing	wearing	EXG
sunglasses	sunglasses	CON
.	.	NIL

# newdoc id = p03/d0880
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He's studying Chinese.
He	He	PRO
's	's	NOW
studying	studying	EXG
Chinese	Chinese	CON
.	.	NIL

# newdoc id = p03/d0884
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He brewed beer.
He	He	PRO
brewed	brewed	EPS
beer	beer	CON
.	.	NIL

# newdoc id = p03/d0893
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = World War I began in the year 1914.
World~War~I	World~War~I	HAP
began	began	EPS
in	in	REL
the	the	DEF
year	year	CON
1914	1914	YOC
.	.	NIL

# newdoc id = p03/d0900
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She suffers from a contagious disease.
She	She	PRO
suffers	suffers	ENS
from	from	REL
a	a	DIS
contagious	contagious	IST
disease	disease	CON
.	.	NIL

# newdoc id = p03/d0903
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I was born in Russia.
I	I	PRO
was	was	PST
born	born	EXS
in	in	REL
Russia	Russia	GPE
.	.	NIL

# newdoc id = p03/d0908
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like fruit such as grapes and peaches.
I	I	PRO
like	like	ENS
fruit	fruit	CON
such~as	such~as	REL
grapes	grapes	CON
and	and	GRP
peaches	peaches	CON
.	.	NIL

# newdoc id = p03/d0909
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He abused my trust.
He	He	PRO
abused	abused	EPS
my	my	HAS
trust	trust	CON
.	.	NIL

# newdoc id = p03/d0922
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The park is located in the center of the city.
The	The	DEF
park	park	CON
is	is	NOW
located	located	IST
in	in	REL
the	the	DEF
center	center	CON
of	of	REL
the	the	DEF
city	city	CON
.	.	NIL

# newdoc id = p03/d0924
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = John Dalton created the Atomic Theory.
John~Dalton	John~Dalton	PER
created	created	EPS
the	the	DEF
Atomic~Theory	Atomic~Theory	ART
.	.	NIL

# newdoc id = p03/d0925
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom spilled the milk.
Tom	Tom	PER
spilled	spilled	EPS
the	the	DEF
milk	milk	CON
.	.	NIL

# newdoc id = p03/d0929
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary was impressed with what she saw.
Mary	Mary	PER
was	was	PST
impressed	impressed	IST
with	with	REL
what	what	DIS
she	she	PRO
saw	saw	EPS
.	.	NIL

# newdoc id = p03/d0936
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Betty murdered him.
Betty	Betty	PER
murdered	murdered	EPS
him	him	PRO
.	.	NIL

# newdoc id = p03/d0946
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = There are also French tourists.
There	There	NIL
are	are	ENS
also	also	ALT
French	French	GPO
tourists	tourists	ROL
.	.	NIL

# newdoc id = p03/d0955
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = You're very sexy.
You	You	PRO
're	're	NOW
very	very	INT
sexy	sexy	IST
.	.	NIL

# newdoc id = p03/d0963
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Cameroon honey gatherers use cyanide to stun bees.
Cameroon	Cameroon	GPO
honey	honey	CON
gatherers	gatherers	ROL
use	use	ENS
cyanide	cyanide	CON
to	to	NIL
stun	stun	EXS
bees	bees	CON
.	.	NIL

# newdoc id = p03/d0982
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The Commission on Human Rights held its fifty-eighth session at Geneva in March and April 2002.
The	The	DEF
Commission~on~Human~Rights	Commission~on~Human~Rights	ORG
held	held	EPS
its	its	HAS
fifty-eighth	fifty-eighth	ORD
session	session	CON
at	at	REL
Geneva	Geneva	GPE
in	in	REL
March	March	MOY
and	and	GRP
April	April	MOY
2002	2002	YOC
.	.	NIL

# newdoc id = p03/d1112
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She shook her head and laughed merrily.
She	She	PRO
shook	shook	EPS
her	her	HAS
head	head	CON
and	and	COO
laughed	laughed	EPS
merrily	merrily	IST
.	.	NIL

# newdoc id = p03/d1200
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Hoechst pays US$ 2.85 billion for a 100% shareholding in Celanese.
Hoechst	Hoechst	ORG
pays	pays	ENS
US$	US$	UOM
2.85~billion	2.85~billion	QUC
for	for	REL
a	a	DIS
100	100	QUC
%	%	UOM
shareholding	shareholding	CON
in	in	REL
Celanese	Celanese	ORG
.	.	NIL

# newdoc id = p03/d1254
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The Ochsenhausen team was in the lead 5:2.
The	The	DEF
Ochsenhausen	Ochsenhausen	ORG
team	team	CON
was	was	EPS
in	in	REL
the	the	DEF
lead	lead	CON
5:2	5:2	SCO
.	.	NIL

# newdoc id = p03/d1360
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I never saw the 21 men again.
I	I	PRO
never	never	NOT
saw	saw	EPS
the	the	DEF
21	21	QUC
men	men	CON
again	again	ALT
.	.	NIL

# newdoc id = p03/d1381
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What was the name of Stonewall Jackson's horse?
What	What	QUE
was	was	EPS
the	the	DEF
name	name	CON
of	of	REL
Stonewall~Jackson	Stonewall~Jackson	PER
's	's	HAS
horse	horse	CON
?	?	QUE

# newdoc id = p03/d1382
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What city is Lake Washington by?
What	What	QUE
city	city	CON
is	is	ENS
Lake~Washington	Lake~Washington	GEO
by	by	REL
?	?	QUE

# newdoc id = p03/d1384
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Where on the body would you find the jowls?
Where	Where	QUE
on	on	REL
the	the	DEF
body	body	CON
would	would	FUT
you	you	DIS
find	find	EXS
the	the	DEF
jowls	jowls	CON
?	?	QUE

# newdoc id = p03/d1386
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who is the Yugoslavian president?
Who	Who	QUE
is	is	ENS
the	the	DEF
Yugoslavian	Yugoslavian	GPO
president	president	ROL
?	?	QUE

# newdoc id = p03/d1387
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who was awarded the Coppa Volpi for the best male performance?
Who	Who	QUE
was	was	PST
awarded	awarded	EXS
the	the	DEF
Coppa~Volpi	Coppa~Volpi	CON
for	for	REL
the	the	DEF
best	best	TOP
male	male	CON
performance	performance	CON
?	?	QUE

# newdoc id = p03/d1388
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What Peruvian president was accused of bribery in the awarding of a railway construction contract?
What	What	QUE
Peruvian	Peruvian	GPO
president	president	ROL
was	was	PST
accused	accused	EXS
of	of	REL
bribery	bribery	CON
in	in	REL
the	the	DEF
awarding	awarding	CON
of	of	REL
a	a	DIS
railway	railway	CON
construction	construction	CON
contract	contract	CON
?	?	QUE

# newdoc id = p03/d1389
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How tall is the Alto Cruz de la Demanda?
How	How	QUE
tall	tall	DEG
is	is	NOW
the	the	DEF
Alto~Cruz~de~la~Demanda	Alto~Cruz~de~la~Demanda	GEO
?	?	QUE

# newdoc id = p03/d1394
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the study of ants called?
What	What	QUE
is	is	ENS
the	the	DEF
study	study	CON
of	of	REL
ants	ants	CON
called	called	EXS
?	?	QUE

# newdoc id = p03/d1397
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How did Harry Houdini die?
How	How	QUE
did	did	PST
Harry~Houdini	Harry~Houdini	PER
die	die	EXS
?	?	QUE

# newdoc id = p03/d1411
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom can't drive yet.
Tom	Tom	PER
ca	ca	POS
n't	n't	NOT
drive	drive	EXS
yet	yet	ALT
.	.	NIL

# newdoc id = p03/d1414
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What did Malcolm X say?
What	What	QUE
did	did	PST
Malcolm~X	Malcolm~X	PER
say	say	EXS
?	?	QUE

# newdoc id = p03/d1426
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Our class has 41 students.
Our	Our	HAS
class	class	CON
has	has	ENS
41	41	QUC
students	students	ROL
.	.	NIL

# newdoc id = p03/d1430
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Nothing happened.
Nothing	Nothing	NOT
happened	happened	EPS
.	.	NIL

# newdoc id = p03/d1439
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My name is Robert Johnson.
My	My	HAS
name	name	CON
is	is	ENS
Robert~Johnson	Robert~Johnson	LIT
.	.	NIL

# newdoc id = p03/d1471
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I go to the market.
I	I	PRO
go	go	ENS
to	to	REL
the	the	DEF
market	market	CON
.	.	NIL

# newdoc id = p03/d1482
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Captain Cook thanked the natives for their hospitality.
Captain	Captain	ROL
Cook	Cook	PER
thanked	thanked	EPS
the	the	DEF
natives	natives	ROL
for	for	REL
their	their	HAS
hospitality	hospitality	CON
.	.	NIL

# newdoc id = p03/d1507
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom claimed that Mary shot him.
Tom	Tom	PER
claimed	claimed	EPS
that	that	SUB
Mary	Mary	PER
shot	shot	EPS
him	him	PRO
.	.	NIL

# newdoc id = p03/d1510
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom bought each of them a camera.
Tom	Tom	PER
bought	bought	EPS
each	each	AND
of	of	REL
them	them	PRO
a	a	DIS
camera	camera	CON
.	.	NIL

# newdoc id = p03/d1526
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Emily stole my heart.
Emily	Emily	PER
stole	stole	EPS
my	my	HAS
heart	heart	CON
.	.	NIL

# newdoc id = p03/d1532
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Both Tom and Mary were disappointed.
Both	Both	AND
Tom	Tom	PER
and	and	GRP
Mary	Mary	PER
were	were	PST
disappointed	disappointed	IST
.	.	NIL

# newdoc id = p03/d1541
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = This lawn mower runs on petrol.
This	This	PRX
lawn~mower	lawn~mower	CON
runs	runs	ENS
on	on	REL
petrol	petrol	CON
.	.	NIL

# newdoc id = p03/d1550
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom swam in the river.
Tom	Tom	PER
swam	swam	EPS
in	in	REL
the	the	DEF
river	river	CON
.	.	NIL

# newdoc id = p03/d1577
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I think I can.
I	I	PRO
think	think	ENS
I	I	PRO
can	can	POS
.	.	NIL

# newdoc id = p03/d1581
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The house whose roof you see beyond the bank is Mr Suzuki's.
The	The	DEF
house	house	CON
whose	whose	HAS
roof	roof	CON
you	you	PRO
see	see	ENS
beyond	beyond	REL
the	the	DEF
bank	bank	CON
is	is	ENS
Mr	Mr	ROL
Suzuki	Suzuki	PER
's	's	HAS
.	.	NIL

# newdoc id = p03/d1592
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Someone stole Tom's car.
Someone	Someone	DIS
stole	stole	EPS
Tom	Tom	PER
's	's	HAS
car	car	CON
.	.	NIL

# newdoc id = p03/d1597
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A mile is equal to about 1600 meters.
A	A	QUC
mile	mile	UOM
is	is	NIL
equal	equal	IST
to	to	REL
about	about	APX
1600	1600	QUC
meters	meters	UOM
.	.	NIL

# newdoc id = p03/d1600
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = His speech bored me.
His	His	HAS
speech	speech	CON
bored	bored	EPS
me	me	PRO
.	.	NIL

# newdoc id = p03/d1626
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The express train does not stop between Shibuya and Naka-Meguro.
The	The	DEF
express	express	IST
train	train	CON
does	does	NOW
not	not	NOT
stop	stop	EXS
between	between	REL
Shibuya	Shibuya	ART
and	and	GRP
Naka-Meguro	Naka-Meguro	ART
.	.	NIL

# newdoc id = p03/d1650
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am sure that he will succeed.
I	I	PRO
am	am	NOW
sure	sure	IST
that	that	SUB
he	he	PRO
will	will	FUT
succeed	succeed	EXS
.	.	NIL

# newdoc id = p03/d1666
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is playing with his toys.
Tom	Tom	PER
is	is	NOW
playing	playing	EXG
with	with	REL
his	his	HAS
toys	toys	CON
.	.	NIL

# newdoc id = p03/d1674
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom removed the splinter from Mary's finger.
Tom	Tom	PER
removed	removed	EPS
the	the	DEF
splinter	splinter	CON
from	from	REL
Mary	Mary	PER
's	's	HAS
finger	finger	CON
.	.	NIL

# newdoc id = p03/d1740
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He touched her on the shoulder.
He	He	PRO
touched	touched	EPS
her	her	PRO
on	on	REL
the	the	DEF
shoulder	shoulder	CON
.	.	NIL

# newdoc id = p03/d1763
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The accident took place on the highway.
The	The	DEF
accident	accident	CON
took	took	EPS
place	place	NIL
on	on	REL
the	the	DEF
highway	highway	CON
.	.	NIL

# newdoc id = p03/d1775
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I want an English muffin.
I	I	PRO
want	want	ENS
an	an	DIS
English	English	GPO
muffin	muffin	CON
.	.	NIL

# newdoc id = p03/d1811
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I inherited his estate.
I	I	PRO
inherited	inherited	EPS
his	his	HAS
estate	estate	CON
.	.	NIL

# newdoc id = p03/d1813
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom ran into the house.
Tom	Tom	PER
ran	ran	EPS
into	into	REL
the	the	DEF
house	house	CON
.	.	NIL

# newdoc id = p03/d1814
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He hammered nails into the plank.
He	He	PRO
hammered	hammered	EPS
nails	nails	CON
into	into	REL
the	the	DEF
plank	plank	CON
.	.	NIL

# newdoc id = p03/d1816
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I love rock music.
I	I	PRO
love	love	ENS
rock~music	rock~music	CON
.	.	NIL

# newdoc id = p03/d1820
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Helen weighs not more than 40 kilograms.
Helen	Helen	PER
weighs	weighs	ENS
not	not	NOT
more~than	more~than	MOR
40	40	QUC
kilograms	kilograms	UOM
.	.	NIL

# newdoc id = p03/d1830
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The medicine cured him of his illness.
The	The	DEF
medicine	medicine	CON
cured	cured	EPS
him	him	PRO
of	of	REL
his	his	HAS
illness	illness	CON
.	.	NIL

# newdoc id = p03/d1832
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The airplane flies at a speed of five hundred kilometers per hour.
The	The	DEF
airplane	airplane	CON
flies	flies	ENS
at	at	REL
a	a	DIS
speed	speed	CON
of	of	REL
five~hundred	five~hundred	QUC
kilometers	kilometers	UOM
per	per	UOM
hour	hour	UOM
.	.	NIL

# newdoc id = p03/d1867
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The cat is meowing.
The	The	DEF
cat	cat	CON
is	is	NOW
meowing	meowing	EXG
.	.	NIL

# newdoc id = p03/d1868
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Moncalvo is the smallest Italian city.
Moncalvo	Moncalvo	GPE
is	is	ENS
the	the	DEF
smallest	smallest	TOP
Italian	Italian	GPO
city	city	CON
.	.	NIL

# newdoc id = p03/d1869
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The convention voted again.
The	The	DEF
convention	convention	CON
voted	voted	EPS
again	again	ALT
.	.	NIL

# newdoc id = p03/d1870
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The noon siren is blowing.
The	The	DEF
noon	noon	CLO
siren	siren	CON
is	is	NOW
blowing	blowing	EXG
.	.	NIL

# newdoc id = p03/d1876
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I brought something for you.
I	I	PRO
brought	brought	EPS
something	something	DIS
for	for	REL
you	you	PRO
.	.	NIL

# newdoc id = p03/d1881
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm allergic to gluten.
I	I	PRO
'm	'm	NOW
allergic	allergic	IST
to	to	REL
gluten	gluten	CON
.	.	NIL

# newdoc id = p03/d1890
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom saw Mary working.
Tom	Tom	PER
saw	saw	EPS
Mary	Mary	PER
working	working	EXG
.	.	NIL

# newdoc id = p03/d1893
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like puzzles.
I	I	PRO
like	like	ENS
puzzles	puzzles	CON
.	.	NIL

# newdoc id = p03/d1926
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am sewing my shirt.
I	I	PRO
am	am	NOW
sewing	sewing	EXG
my	my	HAS
shirt	shirt	CON
.	.	NIL

# newdoc id = p03/d1965
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I invited my neighbors to dinner.
I	I	PRO
invited	invited	EPS
my	my	HAS
neighbors	neighbors	ROL
to	to	REL
dinner	dinner	CON
.	.	NIL

# newdoc id = p03/d1985
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = That guy is a bully.
That	That	DST
guy	guy	CON
is	is	ENS
a	a	DIS
bully	bully	ROL
.	.	NIL

# newdoc id = p03/d2002
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He's hammered.
He	He	PRO
's	's	NOW
hammered	hammered	IST
.	.	NIL

# newdoc id = p03/d2003
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The Steve Miller Band released a new album in June of 2010.
The	The	DEF
Steve~Miller~Band	Steve~Miller~Band	ORG
released	released	EPS
a	a	DIS
new	new	IST
album	album	CON
in	in	REL
June	June	MOY
of	of	EQU
2010	2010	YOC
.	.	NIL

# newdoc id = p03/d2024
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm not selling anything.
I	I	PRO
'm	'm	NOW
not	not	NOT
selling	selling	EXG
anything	anything	DIS
.	.	NIL

# newdoc id = p03/d2026
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tomorrow it will rain in the south of England.
Tomorrow	Tomorrow	FUT
it	it	NIL
will	will	FUT
rain	rain	EXS
in	in	REL
the	the	DEF
south	south	CON
of	of	REL
England	England	GPE
.	.	NIL

# newdoc id = p03/d2052
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom hates dancing.
Tom	Tom	PER
hates	hates	ENS
dancing	dancing	EXG
.	.	NIL

# newdoc id = p03/d2053
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Japan has been sending athletes to the Olympics since 1912.
Japan	Japan	GPE
has	has	NOW
been	been	PFT
sending	sending	EXG
athletes	athletes	ROL
to	to	REL
the	the	DEF
Olympics	Olympics	CON
since	since	REL
1912	1912	YOC
.	.	NIL

# newdoc id = p03/d2057
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Hug Tom.
Hug	Hug	EXS
Tom	Tom	PER
.	.	NIL

# newdoc id = p03/d2059
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm not thirty years old.
I	I	PRO
'm	'm	NOW
not	not	NOT
thirty	thirty	QUC
years	years	UOM
old	old	DEG
.	.	NIL

# newdoc id = p03/d2065
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I met him three years ago.
I	I	PRO
met	met	EPS
him	him	PRO
three	three	QUC
years	years	UOM
ago	ago	PST
.	.	NIL

# newdoc id = p03/d2078
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He denies himself nothing.
He	He	PRO
denies	denies	ENS
himself	himself	REF
nothing	nothing	NOT
.	.	NIL

# newdoc id = p03/d2082
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The boy entered by the back door.
The	The	DEF
boy	boy	CON
entered	entered	EPS
by	by	REL
the	the	DEF
back~door	back~door	CON
.	.	NIL

# newdoc id = p03/d2085
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The American boy spoke broken Japanese.
The	The	DEF
American	American	GPO
boy	boy	CON
spoke	spoke	EPS
broken	broken	IST
Japanese	Japanese	CON
.	.	NIL

# newdoc id = p03/d2090
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I want to climb Mt. Fuji again.
I	I	PRO
want	want	ENS
to	to	NIL
climb	climb	EXS
Mt.~Fuji	Mt.~Fuji	GEO
again	again	ALT
.	.	NIL

# newdoc id = p03/d2091
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom lied on the witness stand.
Tom	Tom	PER
lied	lied	EPS
on	on	REL
the	the	DEF
witness~stand	witness~stand	CON
.	.	NIL

# newdoc id = p03/d2095
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like fresh air.
I	I	PRO
like	like	ENS
fresh	fresh	IST
air	air	CON
.	.	NIL

# newdoc id = p03/d2101
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The lake is very deep.
The	The	DEF
lake	lake	CON
is	is	NOW
very	very	INT
deep	deep	DEG
.	.	NIL

# newdoc id = p03/d2103
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom knows the way.
Tom	Tom	PER
knows	knows	ENS
the	the	DEF
way	way	CON
.	.	NIL

# newdoc id = p03/d2169
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He pays Tom well.
He	He	PRO
pays	pays	ENS
Tom	Tom	PER
well	well	IST
.	.	NIL

# newdoc id = p03/d2184
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The tigers escaped from the zoo.
The	The	DEF
tigers	tigers	CON
escaped	escaped	EPS
from	from	REL
the	the	DEF
zoo	zoo	CON
.	.	NIL

# newdoc id = p03/d2191
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I poured myself a glass of whisky.
I	I	PRO
poured	poured	EPS
myself	myself	REF
a	a	DIS
glass	glass	CON
of	of	REL
whisky	whisky	IST
.	.	NIL

# newdoc id = p03/d2235
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = You're wasting water.
You	You	PRO
're	're	NOW
wasting	wasting	EXG
water	water	CON
.	.	NIL

# newdoc id = p03/d2253
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The she-wolf is howling.
The	The	DEF
she	she	CON
-	-	REL
wolf	wolf	CON
is	is	NOW
howling	howling	EXG
.	.	NIL

# newdoc id = p03/d2264
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She knows me.
She	She	PRO
knows	knows	ENS
me	me	PRO
.	.	NIL

# newdoc id = p03/d2277
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = They were tortured.
They	They	PRO
were	were	PST
tortured	tortured	EXS
.	.	NIL

# newdoc id = p03/d2280
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She looked ravishing.
She	She	PRO
looked	looked	EPS
ravishing	ravishing	IST
.	.	NIL

# newdoc id = p03/d2285
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How much does the orange juice cost?
How	How	QUE
much	much	QUV
does	does	NOW
the	the	DEF
orange~juice	orange~juice	CON
cost	cost	EXS
?	?	QUE

# newdoc id = p03/d2290
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She forgave him.
She	She	PRO
forgave	forgave	EPS
him	him	PRO
.	.	NIL

# newdoc id = p03/d2294
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm eating cheese.
I	I	PRO
'm	'm	NOW
eating	eating	EXG
cheese	cheese	CON
.	.	NIL

# newdoc id = p03/d2306
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The house where I live belongs to my parents.
The	The	DEF
house	house	CON
where	where	REL
I	I	PRO
live	live	ENS
belongs	belongs	ENS
to	to	REL
my	my	HAS
parents	parents	ROL
.	.	NIL

# newdoc id = p03/d2307
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom admitted he was afraid.
Tom	Tom	PER
admitted	admitted	EPS
he	he	PRO
was	was	PST
afraid	afraid	IST
.	.	NIL

# newdoc id = p03/d2318
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The brave captain saved his ship.
The	The	DEF
brave	brave	IST
captain	captain	ROL
saved	saved	EPS
his	his	HAS
ship	ship	CON
.	.	NIL

# newdoc id = p03/d2327
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mr. Smith doesn't speak English, does he?
Mr.	Mr.	ROL
Smith	Smith	PER
does	does	NOW
n't	n't	NOT
speak	speak	EXS
English	English	CON
,	,	NIL
does	does	NOW
he	he	PRO
?	?	QUE

# newdoc id = p03/d2330
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He is up and about again.
He	He	PRO
is	is	NOW
up	up	IST
and	and	AND
about	about	IST
again	again	ALT
.	.	NIL

# newdoc id = p03/d2363
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom flirted with the waitress.
Tom	Tom	PER
flirted	flirted	EPS
with	with	REL
the	the	DEF
waitress	waitress	ROL
.	.	NIL

# newdoc id = p03/d2373
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What a ridiculous opinion that is!
What	What	EMP
a	a	DIS
ridiculous	ridiculous	IST
opinion	opinion	CON
that	that	DST
is	is	ENS
!	!	EMP

# newdoc id = p03/d2374
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is suffering from cancer.
Tom	Tom	PER
is	is	NOW
suffering	suffering	EXG
from	from	REL
cancer	cancer	CON
.	.	NIL

# newdoc id = p03/d2382
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I love the ocean.
I	I	PRO
love	love	ENS
the	the	DEF
ocean	ocean	CON
.	.	NIL

# newdoc id = p03/d2390
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = This work is by no means easy.
This	This	PRX
work	work	CON
is	is	NOW
by~no~means	by~no~means	NOT
easy	easy	IST
.	.	NIL

# newdoc id = p03/d2393
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The pain will wear off.
The	The	DEF
pain	pain	CON
will	will	FUT
wear	wear	EXS
off	off	REL
.	.	NIL

# newdoc id = p03/d2399
# layer:statuses =
